Search type  | Vertices   | Edge percentage | Basic operations |             Time (s)
exaustive    | 53         | 25              | 1                | 4.863739013671875e-05
greedy       | 53         | 50              | 26               |  0.05529189109802246
exaustive    | 53         | 50              | 1                | 7.796287536621094e-05
greedy       | 53         | 75              | 26               |  0.11310505867004395
exaustive    | 53         | 75              | 1                | 0.00011610984802246094
greedy       | 54         | 12.5            | 24               |  0.02021336555480957
exaustive    | 54         | 12.5            | 1                | 3.409385681152344e-05
greedy       | 54         | 25              | 25               |  0.03276777267456055
exaustive    | 54         | 25              | 1                | 5.14984130859375e-05
greedy       | 54         | 50              | 27               |  0.06409549713134766
exaustive    | 54         | 50              | 1                | 7.987022399902344e-05
greedy       | 54         | 75              | 27               |   0.1341533660888672
exaustive    | 54         | 75              | 1                | 0.0001347064971923828
greedy       | 55         | 12.5            | 26               | 0.018154382705688477
exaustive    | 55         | 12.5            | 1                | 3.8623809814453125e-05
greedy       | 4          | 12.5            | 1                | 1.239776611328125e-05
exaustive    | 4          | 12.5            | 2                | 3.123283386230469e-05
greedy       | 4          | 25              | 1                | 1.6927719116210938e-05
exaustive    | 4          | 25              | 1                | 4.2438507080078125e-05
greedy       | 4          | 50              | 1                | 2.6941299438476562e-05
exaustive    | 4          | 50              | 2                |  3.4332275390625e-05
greedy       | 4          | 75              | 1                | 1.6689300537109375e-05
exaustive    | 4          | 75              | 2                |  4.9591064453125e-05
greedy       | 5          | 12.5            | 2                | 3.2901763916015625e-05
exaustive    | 5          | 12.5            | 1                | 3.2901763916015625e-05
